Country,Year,Variable,Value,Above Average,Location
Equatorial Guinea,2014,Surface water produced internally,25.0,0,"1.613172, 10.5170357"
Equatorial Guinea,2014,Groundwater produced internally,10.0,0,"1.613172, 10.5170357"
Eritrea,2014,Surface water produced internally,2.7,0,"25.22091845, 55.1728479503109"
Eritrea,2014,Groundwater produced internally,0.5,0,"25.22091845, 55.1728479503109"
Estonia,2014,Surface water produced internally,11.71,0,"58.7523778, 25.3319078"
Estonia,2014,Groundwater produced internally,4.0,0,"58.7523778, 25.3319078"
Ethiopia,2014,Surface water produced internally,120.0,0,"10.2116702, 38.6521203"
Ethiopia,2014,Groundwater produced internally,20.0,0,"10.2116702, 38.6521203"
Fiji,2014,Surface water produced internally,28.55,0,"-18.1239696, 179.0122737"
Fiji,2014,Groundwater produced internally,5.273,0,"-18.1239696, 179.0122737"
Finland,2014,Surface water produced internally,106.8,0,"63.2467777, 25.9209164"
Finland,2014,Groundwater produced internally,2.2,0,"63.2467777, 25.9209164"
France,2014,Surface water produced internally,198.0,0,"46.603354, 1.8883335"
France,2014,Groundwater produced internally,120.0,1,"46.603354, 1.8883335"
Gabon,2014,Surface water produced internally,162.0,0,"-0.8999695, 11.6899699"
Gabon,2014,Groundwater produced internally,62.0,0,"-0.8999695, 11.6899699"
Gambia,2014,Surface water produced internally,3.0,0,"13.470062, -15.4900464"
Gambia,2014,Groundwater produced internally,0.5,0,"13.470062, -15.4900464"
Georgia,2014,Surface water produced internally,56.9,0,"32.3293809, -83.1137366"
Georgia,2014,Groundwater produced internally,17.23,0,"32.3293809, -83.1137366"
Germany,2014,Surface water produced internally,106.3,0,"51.0834196, 10.4234469"
Germany,2014,Groundwater produced internally,45.7,0,"51.0834196, 10.4234469"
Ghana,2014,Surface water produced internally,29.0,0,"8.0300284, -1.0800271"
Ghana,2014,Groundwater produced internally,26.3,0,"8.0300284, -1.0800271"
Greece,2014,Surface water produced internally,55.5,0,"38.9953683, 21.9877132"
Greece,2014,Groundwater produced internally,10.3,0,"38.9953683, 21.9877132"
Guatemala,2014,Surface water produced internally,100.7,0,"15.6356088, -89.8988087"
Guatemala,2014,Groundwater produced internally,33.7,0,"15.6356088, -89.8988087"
Guinea,2014,Surface water produced internally,226.0,0,"38.1440893, -77.4391124"
Guinea,2014,Groundwater produced internally,38.0,0,"38.1440893, -77.4391124"
Guinea-Bissau,2014,Surface water produced internally,12.0,0,"12.100035, -14.9000214"
Guinea-Bissau,2014,Groundwater produced internally,14.0,0,"12.100035, -14.9000214"
Guyana,2014,Surface water produced internally,241.0,1,"4.88732, -58.9398798968075"
Guyana,2014,Groundwater produced internally,103.0,1,"4.88732, -58.9398798968075"
Haiti,2014,Surface water produced internally,10.85,0,"21.7670269, -78.0947805"
Haiti,2014,Groundwater produced internally,2.157,0,"21.7670269, -78.0947805"
Honduras,2014,Surface water produced internally,81.57,0,"15.0610686, -84.5978534"
Honduras,2014,Groundwater produced internally,39.0,0,"15.0610686, -84.5978534"
Hungary,2014,Surface water produced internally,6.0,0,"47.1817585, 19.5060937"
Hungary,2014,Groundwater produced internally,6.0,0,"47.1817585, 19.5060937"
Iceland,2014,Surface water produced internally,166.0,0,"51.38660965, 0.547714867236488"
Iceland,2014,Groundwater produced internally,24.0,0,"51.38660965, 0.547714867236488"
India,2014,Surface water produced internally,1404.0,1,"22.3511148, 78.6677428"
India,2014,Groundwater produced internally,432.0,1,"22.3511148, 78.6677428"
Indonesia,2014,Surface water produced internally,1973.0,1,"-4.7993356, 114.5632032"
Indonesia,2014,Groundwater produced internally,457.4,1,"-4.7993356, 114.5632032"
Iran (Islamic Republic of),2014,Surface water produced internally,97.3,0,"-35.3051349, 149.11350757401"
Iran (Islamic Republic of),2014,Groundwater produced internally,49.3,0,"-35.3051349, 149.11350757401"
Iraq,2014,Surface water produced internally,34.0,0,"33.0955793, 44.1749775"
Iraq,2014,Groundwater produced internally,3.2,0,"33.0955793, 44.1749775"
Ireland,2014,Surface water produced internally,48.2,0,"52.865196, -7.9794599"
Ireland,2014,Groundwater produced internally,10.8,0,"52.865196, -7.9794599"
Israel,2014,Surface water produced internally,0.25,0,"30.8760272, 35.0015196"
Israel,2014,Groundwater produced internally,0.5,0,"30.8760272, 35.0015196"
Italy,2014,Surface water produced internally,170.5,0,"42.6384261, 12.674297"
Italy,2014,Groundwater produced internally,43.0,0,"42.6384261, 12.674297"
Jamaica,2014,Surface water produced internally,9.111,0,"18.1850507, -77.3947693"
Jamaica,2014,Groundwater produced internally,5.472,0,"18.1850507, -77.3947693"
Japan,2014,Surface water produced internally,420.0,1,"36.5748441, 139.2394179"
Japan,2014,Groundwater produced internally,27.0,0,"36.5748441, 139.2394179"
Jordan,2014,Surface water produced internally,0.485,0,"10.6115886, 122.535946336233"
Jordan,2014,Groundwater produced internally,0.45,0,"10.6115886, 122.535946336233"
Kazakhstan,2014,Surface water produced internally,56.5,0,"47.2286086, 65.2093197"
Kazakhstan,2014,Groundwater produced internally,33.85,0,"47.2286086, 65.2093197"
Kenya,2014,Surface water produced internally,20.2,0,"1.4419683, 38.4313975"
Kenya,2014,Groundwater produced internally,3.5,0,"1.4419683, 38.4313975"
Kuwait,2014,Surface water produced internally,0.0,0,"-12.0294672, -72.8601102"
Kuwait,2014,Groundwater produced internally,0.0,0,"-12.0294672, -72.8601102"
Kyrgyzstan,2014,Surface water produced internally,46.46,0,"41.5089324, 74.724091"
Kyrgyzstan,2014,Groundwater produced internally,13.69,0,"41.5089324, 74.724091"
Lao People's Democratic Republic,2014,Surface water produced internally,190.4,0,"20.0171109, 103.378253"
Lao People's Democratic Republic,2014,Groundwater produced internally,37.9,0,"20.0171109, 103.378253"
Latvia,2014,Surface water produced internally,16.54,0,"56.8406494, 24.7537645"
Latvia,2014,Groundwater produced internally,4.7,0,"56.8406494, 24.7537645"
Lebanon,2014,Surface water produced internally,4.1,0,"40.3429683, -76.4233816"
Lebanon,2014,Groundwater produced internally,3.2,0,"40.3429683, -76.4233816"
Lesotho,2014,Surface water produced internally,5.23,0,"-29.6039267, 28.3350193"
Lesotho,2014,Groundwater produced internally,0.5,0,"-29.6039267, 28.3350193"
Liberia,2014,Surface water produced internally,200.0,0,"5.7499721, -9.3658524"
Liberia,2014,Groundwater produced internally,45.0,0,"5.7499721, -9.3658524"
Libya,2014,Surface water produced internally,0.2,0,"26.8234472, 18.1236723"
Libya,2014,Groundwater produced internally,0.6,0,"26.8234472, 18.1236723"
Lithuania,2014,Surface water produced internally,15.36,0,"55.3500003, 23.7499997"
Lithuania,2014,Groundwater produced internally,1.1,0,"55.3500003, 23.7499997"
Luxembourg,2014,Surface water produced internally,1.0,0,"49.963667, 5.43991862540759"
Luxembourg,2014,Groundwater produced internally,0.08,0,"49.963667, 5.43991862540759"
Madagascar,2014,Surface water produced internally,332.0,1,"-18.78295335, 46.7119260933426"
Madagascar,2014,Groundwater produced internally,55.0,0,"-18.78295335, 46.7119260933426"
Malawi,2014,Surface water produced internally,16.14,0,"-13.2687204, 33.9301963"
Malawi,2014,Groundwater produced internally,2.5,0,"-13.2687204, 33.9301963"
Malaysia,2014,Surface water produced internally,566.0,1,"2.3923759, 112.8471939"
Malaysia,2014,Groundwater produced internally,64.0,1,"2.3923759, 112.8471939"
Maldives,2014,Surface water produced internally,0.0,0,"25.2258151, 55.1830144241155"
Maldives,2014,Groundwater produced internally,0.03,0,"25.2258151, 55.1830144241155"
Mali,2014,Surface water produced internally,50.0,0,"16.3700359, -2.2900239"
Mali,2014,Groundwater produced internally,20.0,0,"16.3700359, -2.2900239"
Malta,2014,Surface water produced internally,0.0005,0,"35.8885993, 14.4476911"
Malta,2014,Groundwater produced internally,0.05,0,"35.8885993, 14.4476911"
Mauritania,2014,Surface water produced internally,0.1,0,"25.21534785, 55.167825505776"
Mauritania,2014,Groundwater produced internally,0.3,0,"25.21534785, 55.167825505776"
Mauritius,2014,Surface water produced internally,2.358,0,"-20.2759451, 57.5703566"
Mauritius,2014,Groundwater produced internally,0.893,0,"-20.2759451, 57.5703566"
Mexico,2014,Surface water produced internally,350.0,1,"19.4326009, -99.1333416"
Mexico,2014,Groundwater produced internally,150.0,1,"19.4326009, -99.1333416"
Mongolia,2014,Surface water produced internally,32.7,0,"46.8250388, 103.8499736"
Mongolia,2014,Groundwater produced internally,6.1,0,"46.8250388, 103.8499736"
Morocco,2014,Surface water produced internally,22.0,0,"31.1728192, -7.3366043"
Morocco,2014,Groundwater produced internally,10.0,0,"31.1728192, -7.3366043"
Mozambique,2014,Surface water produced internally,97.3,0,"19.058889, -96.254167"
Mozambique,2014,Groundwater produced internally,17.0,0,"19.058889, -96.254167"
Myanmar,2014,Surface water produced internally,992.1,1,"17.1750495, 95.9999652"
Myanmar,2014,Groundwater produced internally,453.7,1,"17.1750495, 95.9999652"
Namibia,2014,Surface water produced internally,4.1,0,"-23.2335499, 17.3231107"
Namibia,2014,Groundwater produced internally,2.1,0,"-23.2335499, 17.3231107"
Nauru,2014,Groundwater produced internally,0.01,0,"-0.52826955, 166.931524224807"
Nauru,2014,Surface water produced internally,0,0,"-0.52826955, 166.931524224807"
Nepal,2014,Surface water produced internally,198.2,0,"28.1083929, 84.0917139"
Nepal,2014,Groundwater produced internally,20.0,0,"28.1083929, 84.0917139"
